numero,estado,nota
1,VERIFICADA,Identificada visualmente y archivada
2,VERIFICADA,Identificada visualmente y archivada
3,VERIFICADA,Identificada visualmente y archivada
4,VERIFICADA,Identificada visualmente y archivada
5,VERIFICADA,Identificada visualmente y archivada
6,VERIFICADA,Identificada visualmente y archivada
7,VERIFICADA,Identificada visualmente y archivada
8,VERIFICADA,Identificada visualmente y archivada
9,VERIFICADA,Identificada visualmente y archivada
10,VERIFICADA,Identificada visualmente y archivada
11,VERIFICADA,Identificada visualmente y archivada
12,VERIFICADA,Identificada visualmente y archivada
13,VERIFICADA,Identificada visualmente y archivada
14,VERIFICADA,Identificada visualmente y archivada
15,VERIFICADA,Identificada visualmente y archivada
16,VERIFICADA,Identificada visualmente y archivada
17,VERIFICADA,Identificada visualmente y archivada
18,VERIFICADA,Identificada visualmente y archivada
19,VERIFICADA,Identificada visualmente y archivada
20,VERIFICADA,Identificada visualmente y archivada
21,VERIFICADA,Identificada visualmente y archivada
22,VERIFICADA,Identificada visualmente y archivada
23,VERIFICADA,Identificada visualmente y archivada
24,VERIFICADA,Identificada visualmente y archivada
25,VERIFICADA,Identificada visualmente y archivada
26,VERIFICADA,Identificada visualmente y archivada
27,VERIFICADA,Identificada visualmente y archivada
28,VERIFICADA,Identificada visualmente y archivada
29,VERIFICADA,Identificada visualmente y archivada
30,VERIFICADA,Identificada visualmente y archivada
31,VERIFICADA,Identificada visualmente y archivada
32,VERIFICADA,Identificada visualmente y archivada
33,VERIFICADA,Identificada visualmente y archivada
34,VERIFICADA,Identificada visualmente y archivada
35,VERIFICADA,Identificada visualmente y archivada
36,VERIFICADA,Identificada visualmente y archivada
37,VERIFICADA,Identificada visualmente y archivada
38,VERIFICADA,Identificada visualmente y archivada
39,VERIFICADA,Identificada visualmente y archivada
40,VERIFICADA,Identificada visualmente y archivada
41,VERIFICADA,Identificada visualmente y archivada
42,VERIFICADA,Identificada visualmente y archivada
43,VERIFICADA,Identificada visualmente y archivada
44,VERIFICADA,Identificada visualmente y archivada
45,VERIFICADA,Identificada visualmente y archivada
46,VERIFICADA,Identificada visualmente y archivada
47,VERIFICADA,Identificada visualmente y archivada
48,VERIFICADA,Identificada visualmente y archivada
49,VERIFICADA,Identificada visualmente y archivada
50,VERIFICADA,Identificada visualmente y archivada
51,VERIFICADA,Identificada visualmente y archivada
52,VERIFICADA,Identificada visualmente y archivada
53,VERIFICADA,Identificada visualmente y archivada
54,VERIFICADA,Identificada visualmente y archivada
55,VERIFICADA,Identificada visualmente y archivada
56,VERIFICADA,Identificada visualmente y archivada
