N,archivo_original,archivo_zip,ancho,alto,bytes
1,a_clean_cinematic_gym_instructional_collage_in_a.png,001.jpg,1200,800,102395
2,a_clean_composite_fitness_instructional_scene_a_w.png,002.jpg,1200,800,132793
3,a_clean_composite_instructional_fitness_image_in_a.png,003.jpg,1200,800,115180
4,a_clean_composite_instructional_fitness_infographi.png,004.jpg,1200,800,107446
5,a_clean_gym_instruction_style_composite_image_wit.png,005.jpg,1200,800,129272
6,a_clean_gym_instructional_collage_a_wide_crisp.png,006.jpg,1200,800,139377
7,a_clean_gym_instructional_collage_composite_image.png,007.jpg,1200,800,136559
8,a_clean_gym_instructional_collage_image_wide_hig.png,008.jpg,1200,800,143219
9,a_clean_gym_instructional_composite_image_montage.png,009.jpg,1200,800,106675
10,a_clean_gym_instructional_montage_image_overall.png,010.jpg,1200,800,110357
11,a_clean_high_detail_fitness_instructional_composi.png,011.jpg,1200,800,134368
12,a_clean_high_detail_gym_instructional_montage_wit.png,012.jpg,1200,800,144029
13,a_clean_high_end_gym_instructional_collage_infogr.png,013.jpg,1200,800,148791
14,a_clean_high_quality_composite_fitness_instructio.png,014.jpg,1200,800,129413
15,a_clean_high_quality_composite_fitness_instructio_2.png,015.jpg,1200,800,137398
16,a_clean_high_quality_composite_gym_instructional.png,016.jpg,1200,800,150402
17,a_clean_high_quality_gym_instructional_composite.png,017.jpg,1200,800,112310
18,a_clean_high_quality_gym_instructional_composite_2.png,018.jpg,1200,800,128034
19,a_clean_high_resolution_collage_diagram_style_gym.png,019.jpg,1200,800,106013
20,a_clean_high_resolution_composite_fitness_gym_ins.png,020.jpg,1200,800,97696
21,a_clean_high_resolution_composite_fitness_infogra.png,021.jpg,1200,800,136885
22,a_clean_high_resolution_composite_fitness_instruc.png,022.jpg,1200,800,112947
23,a_clean_high_resolution_composite_gym_instruction.png,023.jpg,1200,800,117875
24,a_clean_high_resolution_composite_gym_instruction_2.png,024.jpg,1200,800,100241
25,a_clean_high_resolution_composite_gym_instruction_3.png,025.jpg,1200,800,107103
26,a_clean_high_resolution_composite_gym_instruction_4.png,026.jpg,1200,800,144770
